2025-03-03 23:52:18.7183 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7224 
2025-03-03 23:52:52.9860 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'HelloGreetingApplication.Controllers.HelloGreetingApplicationController.Get (HelloGreetingApplication)' 
2025-03-03 23:52:53.0075 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Get", controller = "HelloGreetingApplication"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Get() on controller HelloGreetingApplication.Controllers.HelloGreetingApplicationController (HelloGreetingApplication). 
2025-03-03 23:52:53.0463 | INFO | HelloGreetingApplication.Controllers.HelloGreetingApplicationController | Get method executed 
2025-03-03 23:52:53.0636 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing OkObjectResult, writing value of type 'ModelLayer.Model.ResponseModel`1[[System.String, System.Private.CoreLib, Version=6.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. 
2025-03-03 23:52:53.0813 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action HelloGreetingApplication.Controllers.HelloGreetingApplicationController.Get (HelloGreetingApplication) in 60.1827ms 
2025-03-03 23:52:53.0813 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'HelloGreetingApplication.Controllers.HelloGreetingApplicationController.Get (HelloGreetingApplication)' 
2025-03-03 23:52:53.0813 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7224/HelloGreetingApplication - - - 200 - application/json;+charset=utf-8 106.1720ms 
2025-03-03 23:53:17.9259 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET https://localhost:7224/HelloGreetingApplication application/json 47 
2025-03-03 23:53:17.9310 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'HelloGreetingApplication.Controllers.HelloGreetingApplicationController.Get (HelloGreetingApplication)' 
2025-03-03 23:53:17.9310 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "Get", controller = "HelloGreetingApplication"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult Get() on controller HelloGreetingApplication.Controllers.HelloGreetingApplicationController (HelloGreetingApplication). 
2025-03-03 23:53:17.9310 | INFO | HelloGreetingApplication.Controllers.HelloGreetingApplicationController | Get method executed 
2025-03-03 23:53:17.9310 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing OkObjectResult, writing value of type 'ModelLayer.Model.ResponseModel`1[[System.String, System.Private.CoreLib, Version=6.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]'. 
2025-03-03 23:53:17.9633 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action HelloGreetingApplication.Controllers.HelloGreetingApplicationController.Get (HelloGreetingApplication) in 29.6048ms 
2025-03-03 23:53:17.9633 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'HelloGreetingApplication.Controllers.HelloGreetingApplicationController.Get (HelloGreetingApplication)' 
2025-03-03 23:53:17.9633 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET https://localhost:7224/HelloGreetingApplication application/json 47 - 200 - application/json;+charset=utf-8 39.8718ms 
